RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
876,876,2025-07-29 17:07:48.1714362,24,Info,Microsoft-Windows-Kernel-General,System,1400,1492,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Time,0,"{""EventData"":{""Data"":[{""@Name"":""ExitReason"",""#text"":""0""},{""@Name"":""CurrentBias"",""#text"":""420""},{""@Name"":""CurrentTimeZoneID"",""#text"":""2""},{""@Name"":""TimeZoneInfoCacheUpdated"",""#text"":""0""},{""@Name"":""FirstRefresh"",""#text"":""0""}]}}"
877,877,2025-07-29 17:07:48.1721723,1,Info,Microsoft-Windows-Kernel-General,System,1400,1492,DESKTOP-5A3QN5S,6,S-1-5-18,The system time was changed,,,OldTime: 2025-07-30 02:07:47.0868019,NewTime: 2025-07-29 17:07:48.1700000,Reason: An application or system component changed the time.,,,,,False,C:\Users\VM\Desktop\System.evtx,Time,0,"{""EventData"":{""Data"":[{""@Name"":""NewTime"",""#text"":""2025-07-29 17:07:48.1700000""},{""@Name"":""OldTime"",""#text"":""2025-07-30 02:07:47.0868019""},{""@Name"":""Reason"",""#text"":""1""},{""@Name"":""ProcessName"",""#text"":""\\Device\\HarddiskVolume2\\Windows\\System32\\VBoxService.exe""},{""@Name"":""ProcessID"",""#text"":""1400""}]}}"
878,878,2025-07-29 17:07:50.2582190,7026,Info,Service Control Manager,System,700,704,DESKTOP-5A3QN5S,6,,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":{""@Name"":""param1"",""#text"":"", dam""}}}"
879,879,2025-07-29 17:07:53.6596177,7001,Info,Microsoft-Windows-Winlogon,System,632,472,DESKTOP-5A3QN5S,6,S-1-5-18,User logon,,,UserSID: S-1-5-21-3151804214-3226339955-2188200191-1001,,,,,,,False,C:\Users\VM\Desktop\System.evtx,0x2000200000000000,0,"{""EventData"":{""Data"":[{""@Name"":""TSId"",""#text"":""1""},{""@Name"":""UserSid"",""#text"":""S-1-5-21-3151804214-3226339955-2188200191-1001""}]}}"
880,880,2025-07-29 17:07:55.9281990,10016,Warning,Microsoft-Windows-DistributedCOM,System,972,1600,DESKTOP-5A3QN5S,6,S-1-5-20,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""machine-default""},{""@Name"":""param2"",""#text"":""Local""},{""@Name"":""param3"",""#text"":""Activation""},{""@Name"":""param4"",""#text"":""{F87B28F1-DA9A-4F35-8EC0-800EFCF26B83}""},{""@Name"":""param5"",""#text"":""{0868DC9B-D9A2-4F64-9362-133CEA201299}""},{""@Name"":""param6"",""#text"":""NT AUTHORITY""},{""@Name"":""param7"",""#text"":""NETWORK SERVICE""},{""@Name"":""param8"",""#text"":""S-1-5-20""},{""@Name"":""param9"",""#text"":""LocalHost (Using LRPC)""},{""@Name"":""param10"",""#text"":""Unavailable""},{""@Name"":""param11"",""#text"":""Unavailable""}]}}"
881,881,2025-07-29 17:09:52.0463936,10016,Warning,Microsoft-Windows-DistributedCOM,System,972,1008,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""application-specific""},{""@Name"":""param2"",""#text"":""Local""},{""@Name"":""param3"",""#text"":""Launch""},{""@Name"":""param4"",""#text"":""Windows.SecurityCenter.SecurityAppBroker""},{""@Name"":""param5"",""#text"":""Unavailable""},{""@Name"":""param6"",""#text"":""NT AUTHORITY""},{""@Name"":""param7"",""#text"":""SYSTEM""},{""@Name"":""param8"",""#text"":""S-1-5-18""},{""@Name"":""param9"",""#text"":""LocalHost (Using LRPC)""},{""@Name"":""param10"",""#text"":""Unavailable""},{""@Name"":""param11"",""#text"":""Unavailable""}]}}"
882,882,2025-07-29 17:09:52.0463936,10016,Warning,Microsoft-Windows-DistributedCOM,System,972,1600,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""application-specific""},{""@Name"":""param2"",""#text"":""Local""},{""@Name"":""param3"",""#text"":""Launch""},{""@Name"":""param4"",""#text"":""Windows.SecurityCenter.WscBrokerManager""},{""@Name"":""param5"",""#text"":""Unavailable""},{""@Name"":""param6"",""#text"":""NT AUTHORITY""},{""@Name"":""param7"",""#text"":""SYSTEM""},{""@Name"":""param8"",""#text"":""S-1-5-18""},{""@Name"":""param9"",""#text"":""LocalHost (Using LRPC)""},{""@Name"":""param10"",""#text"":""Unavailable""},{""@Name"":""param11"",""#text"":""Unavailable""}]}}"
883,883,2025-07-29 17:09:52.0463936,10016,Warning,Microsoft-Windows-DistributedCOM,System,972,1584,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""application-specific""},{""@Name"":""param2"",""#text"":""Local""},{""@Name"":""param3"",""#text"":""Launch""},{""@Name"":""param4"",""#text"":""Windows.SecurityCenter.WscDataProtection""},{""@Name"":""param5"",""#text"":""Unavailable""},{""@Name"":""param6"",""#text"":""NT AUTHORITY""},{""@Name"":""param7"",""#text"":""SYSTEM""},{""@Name"":""param8"",""#text"":""S-1-5-18""},{""@Name"":""param9"",""#text"":""LocalHost (Using LRPC)""},{""@Name"":""param10"",""#text"":""Unavailable""},{""@Name"":""param11"",""#text"":""Unavailable""}]}}"
884,884,2025-07-29 17:10:57.3951304,10016,Warning,Microsoft-Windows-DistributedCOM,System,972,1584,DESKTOP-5A3QN5S,6,S-1-5-21-3151804214-3226339955-2188200191-1001,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""machine-default""},{""@Name"":""param2"",""#text"":""Local""},{""@Name"":""param3"",""#text"":""Activation""},{""@Name"":""param4"",""#text"":""{C2F03A33-21F5-47FA-B4BB-156362A2F239}""},{""@Name"":""param5"",""#text"":""{316CDED5-E4AE-4B15-9113-7055D84DCC97}""},{""@Name"":""param6"",""#text"":""DESKTOP-5A3QN5S""},{""@Name"":""param7"",""#text"":""VM""},{""@Name"":""param8"",""#text"":""S-1-5-21-3151804214-3226339955-2188200191-1001""},{""@Name"":""param9"",""#text"":""LocalHost (Using LRPC)""},{""@Name"":""param10"",""#text"":""Microsoft.Windows.ShellExperienceHost_10.0.19041.5072_neutral_neutral_cw5n1h2txyewy""},{""@Name"":""param11"",""#text"":""S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708""}]}}"
885,885,2025-07-29 17:13:21.7447593,1074,Info,User32,System,484,500,DESKTOP-5A3QN5S,6,S-1-5-21-3151804214-3226339955-2188200191-1001,A user initiated a system restart,DESKTOP-5A3QN5S\VM,,Hostname: DESKTOP-5A3QN5S,Reason: Other (Unplanned),Type: power off,Code: 0x0,,,C:\Windows\System32\RuntimeBroker.exe (DESKTOP-5A3QN5S),False,C:\Users\VM\Desktop\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""C:\\Windows\\System32\\RuntimeBroker.exe (DESKTOP-5A3QN5S)""},{""@Name"":""param2"",""#text"":""DESKTOP-5A3QN5S""},{""@Name"":""param3"",""#text"":""Other (Unplanned)""},{""@Name"":""param4"",""#text"":""0x0""},{""@Name"":""param5"",""#text"":""power off""},{""@Name"":""param6""},{""@Name"":""param7"",""#text"":""DESKTOP-5A3QN5S\\VM""}]}}"
